entrez	fc	pval
1774	-0.97750027	0.014757134
2597	-0.940616989	0.015151264
10971	-1.011310438	0.01519408
1429	-1.108201833	0.015454752
834	-1.074219134	0.015505342
1465	-0.947421777	0.015553355
9119	-1.709027352	0.015553355
5216	-0.917873451	0.015636108
2289	1.816041796	0.016093479
960	-1.094094016	0.016093479
306	-1.096776452	0.016093479
3437	-1.786301762	0.016093479
9768	-1.076115776	0.016149908
10436	-0.927353607	0.016149908
1075	-0.970410579	0.016149908
8869	-0.947800074	0.016149908
2317	-0.891098596	0.016274407
440026	-0.928886583	0.016274407
8824	0.889775101	0.016711595
6672	-0.971149013	0.017679431
6447	-1.651943567	0.017679431
23395	-0.881629644	0.017696651
9466	-1.041725277	0.017696651
5111	-0.966129655	0.017782012
2065	0.914846575	0.017861417
6772	-1.071360169	0.018266762
9124	-0.981677968	0.018266762
1774	-0.888760352	0.018266762
3945	-0.98698263	0.018266762
6509	-1.007748892	0.01837503
571	1.185805317	0.018674801
10964	-1.623457835	0.018709086
6653	-0.970387774	0.018930923
9818	0.941430538	0.018930923
24139	-1.217517452	0.018930923
303	-1.046752277	0.018947885
26471	0.880121716	0.019239127
301	-0.896265606	0.019239127
7045	-1.09925004	0.019407816
22885	1.327971477	0.019576236
3134	-0.854228388	0.019602136
10630	-1.068624966	0.019671501
10630	-0.958403858	0.01980462
103	-0.864281247	0.01980462
NA	-0.845095278	0.020278015
9734	-1.160849642	0.020278015
10376	-1.009778033	0.02039527
871	-0.860446006	0.020490253
3624	-1.666275516	0.020490253
3490	-0.849561112	0.020627681
8406	-0.942379979	0.021706882
6737	-0.838168445	0.021706882
8974	-1.146216171	0.021706882
84869	-1.007479492	0.021706882
26471	0.886868954	0.021706882
5493	0.923094091	0.022170016
1382	-1.333649368	0.022828635
2621	-0.938464817	0.022977334
58495	0.836466721	0.023042883
1960	1.477509762	0.023042883
5753	-0.867280143	0.023245123
5696	-1.013300218	0.023665293
115207	-0.815534244	0.023843892
1288	-0.852516602	0.023908585
9111	-1.104274825	0.023908585
7298	-1.175485654	0.023908585
2597	-0.907997504	0.023908585
6422	1.153756845	0.02403112
5266	-0.975965355	0.02403112
1308	-0.822680233	0.024317796
650	1.249208983	0.025005973
3655	-1.017977446	0.025542468
4939	-1.06625004	0.025542468
10217	0.811363588	0.025542468
22861	-0.963858292	0.02556175
567	-0.872671043	0.02556175
64112	1.010530742	0.02561571
374	-1.323671334	0.026187003
1955	1.065877176	0.026363376
10971	-0.799761856	0.026420807
64795	1.172189412	0.026702179
7295	-0.820724415	0.026702179
567	-0.945963742	0.026702179
871	-0.921209721	0.026884558
3643	0.823580152	0.026884558
11099	1.130559926	0.026884558
2263	-0.893393113	0.027316557
7837	-0.848915445	0.027813244
2040	0.813252399	0.027813244
7919	-0.838197268	0.027813244
4609	1.125626784	0.027813244
5684	-1.015158483	0.027813244
7991	-1.001204828	0.027813244
26156	0.807713921	0.027813244
9859	-0.799884928	0.027813244
182	-1.0249385	0.027813244
10049	0.889204042	0.02784648
960	-0.790940021	0.02784648
6690	1.892722285	0.02784648
4864	1.031780673	0.028602466
54861	0.798803728	0.028602466
9902	-0.786399508	0.028605237
9901	0.848369163	0.028747702
1890	-1.604004305	0.028747702
10519	-0.808515597	0.028747702
6397	0.914294848	0.029554705
9636	-1.498069791	0.029554705
308	-1.096118064	0.029554705
10550	-0.831552307	0.02983854
10484	-0.819628731	0.029989072
220988	-0.879421163	0.030075353
10610	-0.905199027	0.030246309
25936	-0.938441046	0.030740227
23266	0.904405328	0.030740227
1284	-0.919067166	0.030740234
10130	-0.764410627	0.030740234
